문장번호,문장내용,형태소(품사),형태소(단어만)
4018,하징아니 하고오!,"[('하', 'Exclamation'), ('징', 'Noun'), ('아니다', 'Adjective'), ('하다', 'Verb'), ('!', 'Punctuation')]","['징', '아니다', '하다']"
4019,"…… ""의 추월색 오페라와 ""비 ⎯","[('……', 'Punctuation'), ('""', 'Punctuation'), ('의', 'Noun'), ('추월', 'Noun'), ('색', 'Noun'), ('오페라', 'Noun'), ('와', 'Josa'), ('""', 'Punctuation'), ('비', 'Noun'), ('⎯', 'Foreign')]","['의', '추월', '색', '오페라', '비']"
4020,비 ⎯ 가 오 ⎯ 오.,"[('비', 'Noun'), ('⎯', 'Foreign'), ('가다', 'Verb'), ('오', 'Noun'), ('⎯', 'Foreign'), ('오', 'Noun'), ('.', 'Punctuation')]","['비', '가다', '오', '오']"
4021,"모 ⎯ 모 ⎯ 가 모 ⎯ 가 자 ⎯ 자 ⎯ 라 자 ⎯ 라오.""
 의 맹꽁이 음악을 끈기있게 쌍주하고 있읍니다.","[('모', 'Noun'), ('⎯', 'Foreign'), ('모', 'Noun'), ('⎯', 'Foreign'), ('가다', 'Verb'), ('모', 'Noun'), ('⎯', 'Foreign'), ('가다', 'Verb'), ('자', 'Noun'), ('⎯', 'Foreign'), ('자', 'Noun'), ('⎯', 'Foreign'), ('라', 'Josa'), ('자', 'Noun'), ('⎯', 'Foreign'), ('라오', 'Noun'), ('.""', 'Punctuation'), ('\n ', 'Foreign'), ('의', 'Noun'), ('맹꽁이', 'Noun'), ('음악', 'Noun'), ('을', 'Josa'), ('끈기', 'Noun'), ('있다', 'Adjective'), ('쌍', 'Noun'), ('주하', 'Noun'), ('고', 'Josa'), ('있다', 'Adjective'), ('읍니', 'Noun'), ('다', 'Josa'), ('.', 'Punctuation')]","['모', '모', '가다', '모', '가다', '자', '자', '자', '라오', '의', '맹꽁이', '음악', '끈기', '있다', '쌍', '주하', '있다', '읍니']"
4022,경손이는 심상찮이 불평스런 얼굴은 얼굴이라도,"[('경', 'Modifier'), ('손', 'Noun'), ('이', 'Suffix'), ('는', 'Josa'), ('심상찮', 'Noun'), ('이', 'Josa'), ('불평', 'Noun'), ('스런', 'Josa'), ('얼굴', 'Noun'), ('은', 'Josa'), ('얼굴', 'Noun'), ('이라도', 'Josa')]","['손', '심상찮', '불평', '얼굴', '얼굴']"
4023,일변 매우 조심성 있게 서울 아씨가 누웠는 옆에 가 앉습니다.,"[('일변', 'Noun'), ('매우', 'Noun'), ('조심성', 'Noun'), ('있다', 'Adjective'), ('서울', 'Noun'), ('아씨', 'Noun'), ('가', 'Josa'), ('눕다', 'Verb'), ('옆', 'Noun'), ('에', 'Josa'), ('가다', 'Verb'), ('앉다', 'Verb'), ('.', 'Punctuation')]","['일변', '매우', '조심성', '있다', '서울', '아씨', '눕다', '옆', '가다', '앉다']"
4024,"""그게 무슨 책이죠?""
 ""추월색이란다.""
 서울아씨는 긴치 않다고 이맛살을 약간 찌푸립니다.","[('""', 'Punctuation'), ('그게', 'Noun'), ('무슨', 'Noun'), ('책', 'Noun'), ('이', 'Suffix'), ('죠', 'Josa'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('추월', 'Noun'), ('색', 'Noun'), ('이다', 'Verb'), ('.""', 'Punctuation'), ('\n ', 'Foreign'), ('서', 'Modifier'), ('울', 'Modifier'), ('아씨', 'Noun'), ('는', 'Josa'), ('기다', 'Verb'), ('않다', 'Verb'), ('이', 'Determiner'), ('맛살', 'Noun'), ('을', 'Josa'), ('약간', 'Noun'), ('찌푸리다', 'Verb'), ('.', 'Punctuation')]","['그게', '무슨', '책', '추월', '색', '이다', '아씨', '기다', '않다', '맛살', '약간', '찌푸리다']"
4025,그러나 경손이는 더욱 은근합니다.,"[('그러나', 'Conjunction'), ('경', 'Modifier'), ('손', 'Noun'), ('이', 'Suffix'), ('는', 'Josa'), ('더욱', 'Noun'), ('은근', 'Noun'), ('하다', 'Verb'), ('.', 'Punctuation')]","['손', '더욱', '은근', '하다']"
4026,"""퍽 재밌죠?""
 ""그렇단다!""
 ""그럼 나두 한번 봐예지!""
 경손이는 혼자 중얼거리고는 한참 있다가 또!","[('""', 'Punctuation'), ('퍽', 'Noun'), ('재밌다', 'Adjective'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('그렇다', 'Adjective'), ('!""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('그렇다', 'Adjective'), ('나', 'Noun'), ('두', 'Josa'), ('한번', 'Noun'), ('보다', 'Verb'), ('예지', 'Noun'), ('!""', 'Punctuation'), ('\n ', 'Foreign'), ('경', 'Modifier'), ('손', 'Noun'), ('이', 'Suffix'), ('는', 'Josa'), ('혼자', 'Noun'), ('중얼거리다', 'Verb'), ('한참', 'Noun'), ('있다', 'Adjective'), ('또', 'Noun'), ('!', 'Punctuation')]","['퍽', '재밌다', '그렇다', '그렇다', '나', '한번', '보다', '예지', '손', '혼자', '중얼거리다', '한참', '있다', '또']"
4027,"…… ""…… 전 서방","[('……', 'Punctuation'), ('""……', 'Punctuation'), ('전', 'Noun'), ('서방', 'Noun')]","['전', '서방']"
4028,저녁 다아 먹었나?,"[('저녁', 'Noun'), ('다', 'Noun'), ('아', 'Josa'), ('먹다', 'Verb'), ('?', 'Punctuation')]","['저녁', '다', '먹다']"
4029,"…… 대고모가 아까 차려 내보낸 게 전 서방 밥상이죠?""
 서울아씨는 속이 뜨끔했으나","[('……', 'Punctuation'), ('대고모', 'Noun'), ('가', 'Josa'), ('아깝다', 'Adjective'), ('차려', 'Noun'), ('내보내다', 'Verb'), ('게', 'Noun'), ('전', 'Noun'), ('서방', 'Noun'), ('밥상', 'Noun'), ('이', 'Suffix'), ('죠', 'Josa'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('서', 'Modifier'), ('울', 'Modifier'), ('아씨', 'Noun'), ('는', 'Josa'), ('속이다', 'Verb'), ('뜨끔하다', 'Adjective')]","['대고모', '아깝다', '차려', '내보내다', '게', '전', '서방', '밥상', '아씨', '속이다', '뜨끔하다']"
4030,겉만은 아무렇지도 않게 경손을 바라봅니다.,"[('겉', 'Noun'), ('만은', 'Josa'), ('아무렇다', 'Adjective'), ('않다', 'Verb'), ('경', 'Modifier'), ('손', 'Noun'), ('을', 'Josa'), ('바라보다', 'Verb'), ('.', 'Punctuation')]","['겉', '아무렇다', '않다', '손', '바라보다']"
4031,"""그렇단다…… 왜 그러니?""
 ""아뇨.","[('""', 'Punctuation'), ('그렇다', 'Adjective'), ('……', 'Punctuation'), ('왜', 'Noun'), ('그렇다', 'Adjective'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('아뇨', 'Noun'), ('.', 'Punctuation')]","['그렇다', '왜', '그렇다', '아뇨']"
4032,"밥 다 먹었으믄 나가서 돈 좀 달라구 하게요.""
 ""………""
 서울아씨는 아까 대복이의 저녁 밥상을 차리러 나서느라고 저도 모르게 일으킨 이변을 비로소 깨달았으나","[('밥', 'Noun'), ('다', 'Adverb'), ('먹다', 'Verb'), ('믄', 'Modifier'), ('나가다', 'Verb'), ('돈', 'Noun'), ('좀', 'Noun'), ('다르다', 'Adjective'), ('하다', 'Verb'), ('.""', 'Punctuation'), ('\n ', 'Foreign'), ('""………""', 'Punctuation'), ('\n ', 'Foreign'), ('서', 'Modifier'), ('울', 'Modifier'), ('아씨', 'Noun'), ('는', 'Josa'), ('아깝다', 'Adjective'), ('대', 'Modifier'), ('복', 'Noun'), ('이', 'Suffix'), ('의', 'Josa'), ('저녁', 'Noun'), ('밥상', 'Noun'), ('을', 'Josa'), ('차리다', 'Verb'), ('나서다', 'Verb'), ('저', 'Noun'), ('도', 'Josa'), ('모르다', 'Verb'), ('일으키다', 'Verb'), ('이변', 'Noun'), ('을', 'Josa'), ('비로소', 'Noun'), ('깨', 'Noun'), ('달다', 'Verb')]","['밥', '먹다', '나가다', '돈', '좀', '다르다', '하다', '아씨', '아깝다', '복', '저녁', '밥상', '차리다', '나서다', '저', '모르다', '일으키다', '이변', '비로소', '깨', '달다']"
4033,그래서 속이 뜨끔했던 것이나,"[('그래서', 'Adverb'), ('속이다', 'Verb'), ('뜨끔하다', 'Adjective'), ('것', 'Noun'), ('이나', 'Josa')]","['속이다', '뜨끔하다', '것']"
4034,경 손 이 가막상 눈치를 채지는 못한 것 같아서 저으기 마음이 놓였읍니다.,"[('경', 'Noun'), ('손', 'Noun'), ('이', 'Noun'), ('가막', 'Noun'), ('상', 'Suffix'), ('눈치', 'Noun'), ('를', 'Josa'), ('채', 'Noun'), ('지는', 'Josa'), ('못', 'Noun'), ('한', 'Josa'), ('것', 'Noun'), ('같다', 'Adjective'), ('저으기', 'Noun'), ('마음', 'Noun'), ('이', 'Josa'), ('놓이다', 'Verb'), ('읍니', 'Noun'), ('다', 'Josa'), ('.', 'Punctuation')]","['경', '손', '이', '가막', '눈치', '채', '못', '것', '같다', '저으기', '마음', '놓이다', '읍니']"
4035,그러나 아직 완전히 안심은 할 수가 없어,"[('그러나', 'Conjunction'), ('아직', 'Adverb'), ('완전하다', 'Adjective'), ('안심', 'Noun'), ('은', 'Josa'), ('하다', 'Verb'), ('수가', 'Noun'), ('없다', 'Adjective')]","['완전하다', '안심', '하다', '수가', '없다']"
4036,좀더 속을 떠보아야 하겠어서,"[('좀더', 'Noun'), ('속', 'Noun'), ('을', 'Josa'), ('떠보다', 'Verb'), ('하다', 'Verb')]","['좀더', '속', '떠보다', '하다']"
4037,슬며시 오페라를 중지하고,"[('슬며시', 'Adverb'), ('오페라', 'Noun'), ('를', 'Josa'), ('중지', 'Noun'), ('하고', 'Josa')]","['오페라', '중지']"
4038,짐짓 제 말 나오는 거동을 살피려 드는데,"[('짐짓', 'Noun'), ('제', 'Noun'), ('말', 'Noun'), ('나오다', 'Verb'), ('거동', 'Noun'), ('을', 'Josa'), ('살피다', 'Verb'), ('들다', 'Verb')]","['짐짓', '제', '말', '나오다', '거동', '살피다', '들다']"
4039,"경 손이는 연해 혼잣말로 두런두런……  ""에이!","[('경', 'Noun'), ('손', 'Noun'), ('이', 'Suffix'), ('는', 'Josa'), ('연해', 'Noun'), ('혼잣말', 'Noun'), ('로', 'Josa'), ('두런두런', 'Noun'), ('……', 'Punctuation'), ('""', 'Punctuation'), ('에이', 'Noun'), ('!', 'Punctuation')]","['경', '손', '연해', '혼잣말', '두런두런', '에이']"
4040,고 재리,"[('고', 'Noun'), ('재다', 'Verb')]","['고', '재다']"
4041,"깍쟁이!""
 ""………""
 ""고거","[('깍쟁이', 'Noun'), ('!""', 'Punctuation'), ('\n ', 'Foreign'), ('""………""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('고거', 'Noun')]","['깍쟁이', '고거']"
4042,"죽어버렸으믄 좋겠어!""
 ""………""
 ""그중에 그따위가 병신이 지랄하더라구","[('죽다', 'Verb'), ('버리다', 'Verb'), ('믄', 'Modifier'), ('좋다', 'Adjective'), ('!""', 'Punctuation'), ('\n ', 'Foreign'), ('""………""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('그', 'Determiner'), ('중', 'Noun'), ('에', 'Josa'), ('그따위', 'Noun'), ('가', 'Josa'), ('병신', 'Noun'), ('이', 'Josa'), ('지랄', 'Noun'), ('하다', 'Verb'), ('구', 'Noun')]","['죽다', '버리다', '좋다', '중', '그따위', '병신', '지랄', '하다', '구']"
4043,"내 참!""
 ""………""
 ""아 글쎄 대고모!""
 ""왜?""
 ""아","[('내', 'Noun'), ('차다', 'Verb'), ('!""', 'Punctuation'), ('\n ', 'Foreign'), ('""………""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('아', 'Exclamation'), ('글쎄', 'Noun'), ('대고모', 'Noun'), ('!""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('왜', 'Noun'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('아', 'Exclamation')]","['내', '차다', '글쎄', '대고모', '왜']"
4044,대복이 녀석이,"[('대', 'Modifier'), ('복', 'Noun'), ('이', 'Josa'), ('녀석', 'Noun'), ('이', 'Josa')]","['복', '녀석']"
4045,"말 이우…… """"그래서?""
 ""내 참!","[('말', 'Noun'), ('이우', 'Noun'), ('……', 'Punctuation'), ('""""', 'Punctuation'), ('그래서', 'Adverb'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('내', 'Noun'), ('차다', 'Verb'), ('!', 'Punctuation')]","['말', '이우', '내', '차다']"
4046,…… 내 인제,"[('……', 'Punctuation'), ('내', 'Noun'), ('인제', 'Noun')]","['내', '인제']"
4047,"마구 죽여놀 테야!……""
 ""아니","[('마구', 'Noun'), ('죽이다', 'Verb'), ('놀', 'Noun'), ('테', 'Noun'), ('야', 'Josa'), ('!……""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('아니다', 'Adjective')]","['마구', '죽이다', '놀', '테', '아니다']"
4048,왜 그래?,"[('왜', 'Noun'), ('그렇다', 'Adjective'), ('?', 'Punctuation')]","['왜', '그렇다']"
4049,"무어라구 욕을 하든?""
 ""욕은 아니라두","[('무어', 'Noun'), ('라', 'Josa'), ('구', 'Noun'), ('욕', 'Noun'), ('을', 'Josa'), ('하든', 'Noun'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('욕', 'Noun'), ('은', 'Josa'), ('아니다', 'Adjective'), ('두', 'Determiner')]","['무어', '구', '욕', '하든', '욕', '아니다']"
4050,욕보다 더한 소리지 머!,"[('욕', 'Noun'), ('보다', 'Josa'), ('더하다', 'Adjective'), ('소리', 'Noun'), ('지', 'Josa'), ('머', 'Noun'), ('!', 'Punctuation')]","['욕', '더하다', '소리', '머']"
4051,"…… """"무어랬길래 그래?""
 ""아","[('……', 'Punctuation'), ('""""', 'Punctuation'), ('무어랬길', 'Noun'), ('래', 'Josa'), ('그렇다', 'Adjective'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('아', 'Exclamation')]","['무어랬길', '그렇다']"
4052,고 병신이,"[('고', 'Noun'), ('병신', 'Noun'), ('이', 'Josa')]","['고', '병신']"
4053,밤낮 절더러,"[('밤낮', 'Noun'), ('절', 'Noun'), ('더러', 'Josa')]","['밤낮', '절']"
4054,대고모 말을 하겠지!,"[('대고모', 'Noun'), ('말', 'Noun'), ('을', 'Josa'), ('하다', 'Verb'), ('!', 'Punctuation')]","['대고모', '말', '하다']"
4055,"망할자식 같으니라고!""
 서울아씨는 얼굴이 화끈 달은 것을 어찌하지 못했읍니다.","[('망하다', 'Adjective'), ('자식', 'Noun'), ('같다', 'Adjective'), ('!""', 'Punctuation'), ('\n ', 'Foreign'), ('서', 'Modifier'), ('울', 'Modifier'), ('아씨', 'Noun'), ('는', 'Josa'), ('얼굴', 'Noun'), ('이', 'Josa'), ('화끈', 'Noun'), ('달', 'Noun'), ('은', 'Josa'), ('것', 'Noun'), ('을', 'Josa'), ('어찌', 'Noun'), ('하다', 'Verb'), ('못', 'VerbPrefix'), ('하다', 'Verb'), ('읍니', 'Noun'), ('다', 'Josa'), ('.', 'Punctuation')]","['망하다', '자식', '같다', '아씨', '얼굴', '화끈', '달', '것', '어찌', '하다', '하다', '읍니']"
4056,"""무어라구 내 말을 한단 말이냐?""
 ""머","[('""', 'Punctuation'), ('무어', 'Noun'), ('라', 'Josa'), ('구', 'Noun'), ('내', 'Noun'), ('말', 'Noun'), ('을', 'Josa'), ('한단', 'Noun'), ('말', 'Noun'), ('이냐', 'Josa'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('머', 'Noun')]","['무어', '구', '내', '말', '한단', '말', '머']"
4057,별소리가 많아요?,"[('별', 'Modifier'), ('소리', 'Noun'), ('가', 'Josa'), ('많다', 'Adjective'), ('?', 'Punctuation')]","['소리', '많다']"
4058,느이 대고모님은 참 얌전한 부인네라구,"[('느이', 'Noun'), ('대고모', 'Noun'), ('님', 'Suffix'), ('은', 'Josa'), ('차다', 'Verb'), ('얌전하다', 'Adjective'), ('부인', 'Noun'), ('네', 'Suffix'), ('라', 'Josa'), ('구', 'Noun')]","['느이', '대고모', '차다', '얌전하다', '부인', '구']"
4059,"그런 소리두 하구…… 또오…… """"또오?""
 ""퍽 불쌍하다구…… 소생이 무언지","[('그렇다', 'Adjective'), ('소리', 'Noun'), ('두', 'Josa'), ('하다', 'Verb'), ('……', 'Punctuation'), ('또오', 'Noun'), ('……', 'Punctuation'), ('""""', 'Punctuation'), ('또오', 'Noun'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('퍽', 'Noun'), ('불쌍하다', 'Adjective'), ('……', 'Punctuation'), ('소생', 'Noun'), ('이', 'Josa'), ('무언', 'Noun'), ('지', 'Josa')]","['그렇다', '소리', '하다', '또오', '또오', '퍽', '불쌍하다', '소생', '무언']"
4060,소생이라두 하나 있었더라믄 그래 두 맘이나 고난치 않았을걸,"[('소생', 'Noun'), ('이라', 'Josa'), ('두', 'Determiner'), ('하나', 'Noun'), ('있다', 'Adjective'), ('믄', 'Modifier'), ('그렇다', 'Adjective'), ('두', 'Noun'), ('맘', 'Noun'), ('이나', 'Josa'), ('고', 'Modifier'), ('난치', 'Noun'), ('않다', 'Verb')]","['소생', '하나', '있다', '그렇다', '두', '맘', '난치', '않다']"
4061,"어쩌구 그런 소리두 하구…… """"주제넘은 사람두 다아 보겠다!","[('어쩌구', 'Noun'), ('그렇다', 'Adjective'), ('소리', 'Noun'), ('두', 'Josa'), ('하다', 'Verb'), ('……', 'Punctuation'), ('""""', 'Punctuation'), ('주제넘다', 'Adjective'), ('사람', 'Noun'), ('두', 'Josa'), ('다', 'Noun'), ('아', 'Josa'), ('보다', 'Verb'), ('!', 'Punctuation')]","['어쩌구', '그렇다', '소리', '하다', '주제넘다', '사람', '다', '보다']"
4062,"제가 무엇이 대껴서 날 가지구 그러네 저러네 해?""
 말의 뜻에 비해서는 악센트가 그다지 강경하진 않습니다.","[('제', 'Noun'), ('가', 'Josa'), ('무엇', 'Noun'), ('이', 'Josa'), ('대끼다', 'Verb'), ('날', 'Noun'), ('가다', 'Verb'), ('그렇다', 'Adjective'), ('저러다', 'Verb'), ('해', 'Noun'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('말', 'Noun'), ('의', 'Josa'), ('뜻', 'Noun'), ('에', 'Josa'), ('비', 'Noun'), ('하다', 'Verb'), ('악센트', 'Noun'), ('가', 'Josa'), ('그다지', 'Noun'), ('강경하다', 'Adjective'), ('않다', 'Verb'), ('.', 'Punctuation')]","['제', '무엇', '대끼다', '날', '가다', '그렇다', '저러다', '해', '말', '뜻', '비', '하다', '악센트', '그다지', '강경하다', '않다']"
4063,대복이를 꾸짖 자기보다,"[('대', 'Modifier'), ('복', 'Noun'), ('이를', 'Josa'), ('꾸짖다', 'Verb'), ('자기', 'Noun'), ('보다', 'Josa')]","['복', '꾸짖다', '자기']"
4064,경손이한테 발명이기가 쉽지요.,"[('경', 'Modifier'), ('손', 'Noun'), ('이', 'Suffix'), ('한테', 'Josa'), ('발명', 'Noun'), ('이기', 'Noun'), ('가', 'Josa'), ('쉽지요', 'Noun'), ('.', 'Punctuation')]","['손', '발명', '이기', '쉽지요']"
4065,"""그리게 말이예요…… 내 인제 다시 그따위 소릴 하거던 마구 그냥 죽여 놀 테예요!""
 ""………""
 ""큰사랑 할아버지께 고해서","[('""', 'Punctuation'), ('그리다', 'Verb'), ('말', 'Noun'), ('이', 'Suffix'), ('예요', 'Josa'), ('……', 'Punctuation'), ('내', 'Noun'), ('인제', 'Noun'), ('다시', 'Noun'), ('그따위', 'Noun'), ('소릴', 'Noun'), ('하', 'Exclamation'), ('거던', 'Noun'), ('마구', 'Noun'), ('그냥', 'Noun'), ('죽이다', 'Verb'), ('놀', 'Noun'), ('테', 'Noun'), ('예요', 'Josa'), ('!""', 'Punctuation'), ('\n ', 'Foreign'), ('""………""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('크다', 'Verb'), ('사랑', 'Noun'), ('할아버지', 'Noun'), ('께', 'Josa'), ('고해', 'Noun'), ('서', 'Josa')]","['그리다', '말', '내', '인제', '다시', '그따위', '소릴', '거던', '마구', '그냥', '죽이다', '놀', '테', '크다', '사랑', '할아버지', '고해']"
4066,아주 밥통을 떼어놓던지…… 망할자식!,"[('아주', 'Noun'), ('밥통', 'Noun'), ('을', 'Josa'), ('떼다', 'Verb'), ('……', 'Punctuation'), ('망하다', 'Adjective'), ('자식', 'Noun'), ('!', 'Punctuation')]","['아주', '밥통', '떼다', '망하다', '자식']"
4067,"상놈의 자식이!""
 ""경손아?""
 서울아씨는 긴장한 태를 아니 보이느라고 내려놓았던 추월색을 도로 집어  들면서 경손이를 부르는 음성도 대고모답게 상냥하고도 위의가 있읍니다.","[('상놈', 'Noun'), ('의', 'Josa'), ('자식', 'Noun'), ('이', 'Josa'), ('!""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('경', 'Modifier'), ('손', 'Noun'), ('아', 'Josa'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('서', 'Modifier'), ('울', 'Modifier'), ('아씨', 'Noun'), ('는', 'Josa'), ('긴장', 'Noun'), ('한', 'Josa'), ('태', 'Noun'), ('를', 'Josa'), ('아니다', 'Adjective'), ('보이다', 'Verb'), ('내려놓다', 'Verb'), ('추월', 'Noun'), ('색', 'Noun'), ('을', 'Josa'), ('도로', 'Noun'), ('집다', 'Verb'), ('들다', 'Verb'), ('경', 'Modifier'), ('손', 'Noun'), ('이를', 'Josa'), ('부르다', 'Verb'), ('음성', 'Noun'), ('도', 'Josa'), ('대고모', 'Noun'), ('답', 'Noun'), ('게', 'Josa'), ('상냥하다', 'Adjective'), ('위의', 'Noun'), ('가', 'Josa'), ('있다', 'Adjective'), ('읍니', 'Noun'), ('다', 'Josa'), ('.', 'Punctuation')]","['상놈', '자식', '손', '아씨', '긴장', '태', '아니다', '보이다', '내려놓다', '추월', '색', '도로', '집다', '들다', '손', '부르다', '음성', '대고모', '답', '상냥하다', '위의', '있다', '읍니']"
4068,경손이의 대답 소리도 거기 알맞게 대단히 삼가롭습니다.,"[('경', 'Modifier'), ('손', 'Noun'), ('이', 'Suffix'), ('의', 'Josa'), ('대답', 'Noun'), ('소리', 'Noun'), ('도', 'Josa'), ('거기', 'Noun'), ('알맞다', 'Adjective'), ('대단하다', 'Adjective'), ('삼가다', 'Verb'), ('롭습', 'Noun'), ('니', 'Josa'), ('다', 'Adverb'), ('.', 'Punctuation')]","['손', '대답', '소리', '거기', '알맞다', '대단하다', '삼가다', '롭습']"
4069,"""너","[('""', 'Punctuation'), ('너', 'Noun')]",['너']
4070,"애여 남허구 시비할세라?""
 ""내애.""
 ""대복이가 했단 소리가","[('애', 'Noun'), ('여', 'Josa'), ('남', 'Noun'), ('허구', 'Noun'), ('시비', 'Noun'), ('하다', 'Verb'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('내', 'Determiner'), ('애', 'Noun'), ('.""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('대', 'Modifier'), ('복', 'Noun'), ('이', 'Suffix'), ('가', 'Josa'), ('하다', 'Verb'), ('소리', 'Noun'), ('가', 'Josa')]","['애', '남', '허구', '시비', '하다', '애', '복', '하다', '소리']"
4071,다아 주저넘구 하긴 하지만,"[('다', 'Noun'), ('아', 'Josa'), ('주저', 'Noun'), ('넘다', 'Verb'), ('하다', 'Verb'), ('하지만', 'Conjunction')]","['다', '주저', '넘다', '하다']"
4072,넌 아직 어린 애니깐 남하구 시빌 하구 그래선 못써요!,"[('넌', 'Noun'), ('아직', 'Adverb'), ('어리다', 'Verb'), ('애', 'Noun'), ('니깐', 'Josa'), ('남', 'Noun'), ('하다', 'Verb'), ('시빌', 'Noun'), ('하다', 'Verb'), ('그렇다', 'Adjective'), ('선', 'Noun'), ('못', 'VerbPrefix'), ('써다', 'Verb'), ('!', 'Punctuation')]","['넌', '어리다', '애', '남', '하다', '시빌', '하다', '그렇다', '선', '써다']"
4073,…… 좀 귀에 거실리는 소릴 하더래두 거저 들은 숭 만 숭하는 것이지,"[('……', 'Punctuation'), ('좀', 'Noun'), ('귀', 'Noun'), ('에', 'Josa'), ('거', 'Noun'), ('실리다', 'Verb'), ('소릴', 'Noun'), ('하다', 'Verb'), ('두', 'Determiner'), ('거저', 'Noun'), ('들다', 'Verb'), ('숭', 'Noun'), ('만', 'Noun'), ('숭하', 'Noun'), ('는', 'Josa'), ('것', 'Noun'), ('이지', 'Josa')]","['좀', '귀', '거', '실리다', '소릴', '하다', '거저', '들다', '숭', '만', '숭하', '것']"
4074,"응?""
 ""내애.""
 ""그리구","[('응', 'Noun'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('내', 'Determiner'), ('애', 'Noun'), ('.""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('그리다', 'Verb')]","['응', '애', '그리다']"
4075,그런 되잖은 소리 들었다구,"[('그렇다', 'Adjective'), ('되다', 'Verb'), ('소리', 'Noun'), ('들다', 'Verb')]","['그렇다', '되다', '소리', '들다']"
4076,"이 사람 저 사람한테 옮기지두 말구…… 그따위 소린 한귀루 듣구 한귀루 흘려버릴 소리 아냐?""
 ""내애","[('이', 'Noun'), ('사람', 'Noun'), ('저', 'Noun'), ('사람', 'Noun'), ('한테', 'Josa'), ('옮기다', 'Verb'), ('말다', 'Verb'), ('……', 'Punctuation'), ('그따위', 'Noun'), ('소린', 'Noun'), ('한', 'Determiner'), ('귀', 'Modifier'), ('루', 'Noun'), ('듣다', 'Verb'), ('한', 'Determiner'), ('귀', 'Modifier'), ('루', 'Noun'), ('흘리다', 'Verb'), ('버리다', 'Verb'), ('소리', 'Noun'), ('알다', 'Verb'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('내', 'Determiner'), ('애', 'Noun')]","['이', '사람', '저', '사람', '옮기다', '말다', '그따위', '소린', '루', '듣다', '루', '흘리다', '버리다', '소리', '알다', '애']"
4077,"아무더러두 얘기 아니허께요!""
 경손이는 푸시시 일어서고","[('아무', 'Modifier'), ('더러', 'Noun'), ('두', 'Josa'), ('얘기', 'Noun'), ('아니다', 'Adjective'), ('허다', 'Verb'), ('!""', 'Punctuation'), ('\n ', 'Foreign'), ('경', 'Modifier'), ('손', 'Noun'), ('이', 'Suffix'), ('는', 'Josa'), ('푸시시', 'Adverb'), ('일어서다', 'Verb')]","['더러', '얘기', '아니다', '허다', '손', '일어서다']"
4078,서울아씨는 도로 오페라를 계속하려고 합니다.,"[('서', 'Modifier'), ('울', 'Modifier'), ('아씨', 'Noun'), ('는', 'Josa'), ('도로', 'Noun'), ('오페라', 'Noun'), ('를', 'Josa'), ('계속', 'Noun'), ('하다', 'Verb'), ('하다', 'Verb'), ('.', 'Punctuation')]","['아씨', '도로', '오페라', '계속', '하다', '하다']"
4079,"""밥이나 다아 먹었나?","[('""', 'Punctuation'), ('밥', 'Noun'), ('이나', 'Josa'), ('다', 'Noun'), ('아', 'Josa'), ('먹다', 'Verb'), ('?', 'Punctuation')]","['밥', '다', '먹다']"
4080,작자가!,"[('작자', 'Noun'), ('가', 'Josa'), ('!', 'Punctuation')]",['작자']
